Structure ID,Compound ID
1btoj,FXR_1
1phif,FXR_2
1ymrc,FXR_3
1pdbc,FXR_4
1lrpw,FXR_5
1txca,FXR_6
1dqzc,FXR_7
1eujj,FXR_8
1ytut,FXR_9
1sjpr,FXR_10
1xxar,FXR_11
1kjyp,FXR_12
1hgaf,FXR_13
1uxjy,FXR_14
1hvih,FXR_15
1ivlk,FXR_16
1hqmf,FXR_17
1nqqw,FXR_18
1rfrr,FXR_19
1rzch,FXR_20
1xivt,FXR_21
1rwui,FXR_22
1zhbd,FXR_23
1jski,FXR_24
1ifba,FXR_25
1lkvm,FXR_26
1fymf,FXR_27
1rtaz,FXR_28
1hoia,FXR_29
1yfjn,FXR_30
1wles,FXR_31
1skpl,FXR_32
1kmrz,FXR_33
1fggu,FXR_34
1ixdk,FXR_35
1wgph,FXR_36
1dvwb,Apo
